State,Action,Objective 0,Objective 1
0.0,1.0,1.9312,2.2544
0.0,1.0,1.9305,2.2551
0.0,1.0,1.9317,2.2539
0.0,1.0,1.9301,2.2555
0.0,1.0,1.9308,2.2548
0.0,1.0,1.9325,2.2531
0.0,1.0,1.9324,2.2532
0.0,1.0,1.932,2.2536
0.0,1.0,1.9313,2.2543
0.0,1.0,1.9304,2.2552
0.0,1.0,1.9332,2.2524
0.0,1.0,1.9309,2.2547
0.0,1.0,1.93,2.2556
0.0,1.0,1.9328,2.2528
0.0,1.0,1.9316,2.254
0.0,1.0,1.9329,2.2527
0.0,1.0,1.9321,2.2535
0.0,1.0,1.9306,2.2549
0.0,1.0,1.931,2.2545
0.0,1.0,1.9296,2.2559
0.0,1.0,1.9340000000000002,2.2515
0.0,1.0,1.9336,2.2519
0.0,1.0,1.9326,2.2529
0.0,1.0,1.9302,2.2553
0.0,1.0,1.933,2.2525
0.0,1.0,1.9314,2.2541
0.0,1.0,1.9293,2.2562
0.0,1.0,1.9298,2.2557
0.0,1.0,1.9333,2.2522
0.0,1.0,1.9335,2.252
0.0,1.0,1.9339,2.2516
0.0,1.0,1.9295,2.256
0.0,1.0,1.9341,2.2514
0.0,1.0,1.9318,2.2537
0.0,1.0,1.9297,2.2558
0.0,1.0,1.9337,2.2518
0.0,1.0,1.9322,2.2533
0.0,1.0,1.9345,2.2509
0.0,1.0,1.9347,2.2507
0.0,1.0,1.9288,2.2566
0.0,1.0,1.929,2.2564
0.0,1.0,1.9349,2.2505
0.0,1.0,1.9348,2.2506
0.0,1.0,1.9343,2.2511
0.0,1.0,1.9344,2.251
0.0,1.0,1.9346,2.2508
0.0,1.0,1.9289,2.2565
0.0,1.0,1.9291,2.2563
0.0,1.0,1.9342,2.2512
0.0,1.0,1.9285,2.2568
0.0,1.0,1.935,2.2503
0.0,1.0,1.9286,2.2567
0.0,1.0,1.9946,2.168
0.0,1.0,1.9947,2.1673
0.0,1.0,1.995,2.1668
0.0,1.0,2.0832,1.8566
0.0,1.0,2.0833,1.8549
0.0,1.0,2.0842,1.8361
0.0,1.0,2.0847,1.8343
0.0,1.0,2.0848,1.8317
0.0,1.0,2.0853,1.8297
0.0,1.0,2.0859,1.8247
0.0,1.0,2.0859,1.8243
0.0,1.0,2.0862,1.8214
0.0,1.0,2.0863,1.8199
0.0,1.0,2.0866,1.8179
0.0,1.0,2.0867,1.8159999999999998
0.0,1.0,2.0869999999999997,1.8131
0.0,1.0,2.0869999999999997,1.8119
0.0,1.0,2.0873,1.8097
0.0,1.0,2.0874,1.808
0.0,1.0,2.0878,1.8035
0.0,1.0,2.088,1.8016
0.0,1.0,2.0881,1.7996
0.0,1.0,2.0885,1.7953
0.0,1.0,2.0885,1.7925
0.0,1.0,2.0888,1.7897
0.0,1.0,2.0889,1.7883
0.0,1.0,2.0889,1.7877
0.0,1.0,2.0891,1.7859
0.0,1.0,2.0892,1.7852
0.0,1.0,2.0893,1.7845
0.0,1.0,2.0894,1.7830000000000001
0.0,1.0,2.0895,1.7819999999999998
0.0,1.0,2.0895,1.7814
0.0,1.0,2.0897,1.7796
0.0,1.0,2.0898,1.7783
0.0,1.0,2.0898,1.7779
0.0,1.0,2.0901,1.7757
0.0,1.0,2.0902,1.7738
0.0,1.0,2.0902,1.7735
0.0,1.0,2.0905,1.7719999999999998
0.0,1.0,2.0906,1.7692
0.0,1.0,2.0906,1.7689
0.0,1.0,2.0908,1.7675
0.0,1.0,2.0909999999999997,1.7638
0.0,1.0,2.0909999999999997,1.7637
0.0,1.0,2.0909999999999997,1.7623
0.0,1.0,2.0913,1.76
0.0,1.0,2.0913,1.7598
0.0,1.0,2.0913,1.7592
0.0,1.0,2.0913,1.7581
0.0,1.0,2.0915,1.7565
0.0,1.0,2.0915,1.7559
0.0,1.0,2.0915,1.7557
0.0,1.0,2.0915,1.7553
0.0,1.0,2.0916,1.7551
0.0,1.0,2.0916,1.7547
0.0,1.0,2.0916,1.7546
0.0,1.0,2.0916,1.7545
0.0,1.0,2.0916,1.754
0.0,1.0,2.0916,1.7539
1.0,1.0,1.9714,2.2486
1.0,1.0,1.9754,2.2446
1.0,1.0,1.9718,2.2482
1.0,1.0,1.975,2.245
1.0,1.0,1.9726,2.2474
1.0,1.0,1.9698,2.2502
1.0,1.0,1.969,2.251
1.0,1.0,1.9709999999999999,2.249
1.0,1.0,1.9738,2.2462
1.0,1.0,1.9722,2.2478
1.0,1.0,1.9742,2.2458
1.0,1.0,1.9734,2.2466
1.0,1.0,1.9702,2.2498
1.0,1.0,1.9694,2.2506
1.0,1.0,1.9706,2.2494
1.0,1.0,1.973,2.247
1.0,1.0,1.9746,2.2454
1.0,1.0,1.9719,2.248
1.0,1.0,1.97,2.2499
1.0,1.0,1.9712,2.2487
1.0,1.0,1.9695,2.2504
1.0,1.0,1.9703,2.2496
1.0,1.0,1.9748,2.2451
1.0,1.0,1.9728,2.2471
1.0,1.0,1.9704,2.2495
1.0,1.0,1.9699,2.25
1.0,1.0,1.9724,2.2475
1.0,1.0,1.9755,2.2444
1.0,1.0,1.9743,2.2456
1.0,1.0,1.9708,2.2491
1.0,1.0,1.9739,2.246
1.0,1.0,1.9744,2.2455
1.0,1.0,1.974,2.2459
1.0,1.0,1.9758,2.2441
1.0,1.0,1.9735,2.2464
1.0,1.0,1.972,2.2479
1.0,1.0,1.9692,2.2507
1.0,1.0,1.9696,2.2503
1.0,1.0,1.9757,2.2442
1.0,1.0,1.9723,2.2476
1.0,1.0,1.9716,2.2483
1.0,1.0,1.9751,2.2448
1.0,1.0,1.9731,2.2468
1.0,1.0,1.9752,2.2447
1.0,1.0,1.9715,2.2484
1.0,1.0,1.9707,2.2492
1.0,1.0,1.9711,2.2488
1.0,1.0,1.9756,2.2443
1.0,1.0,1.9732,2.2467
1.0,1.0,1.9747,2.2452
1.0,1.0,1.9691,2.2508
1.0,1.0,1.9736,2.2463
1.0,1.0,1.9727,2.2472
1.0,1.0,1.9687,2.2511
1.0,1.0,1.9686,2.2512
1.0,1.0,2.1038,1.9699
1.0,1.0,2.1037,1.97
1.0,1.0,2.1039,1.9674
1.0,1.0,2.1183,1.9509999999999998
1.0,1.0,2.1202,1.9488
1.0,1.0,2.12,1.949
1.0,1.0,2.1203,1.9484
1.0,1.0,2.1205,1.9481
1.0,1.0,2.1206,1.9479
1.0,0.0,2.1636,1.749
1.0,0.0,2.202,1.7071
1.0,0.0,2.206,1.7025
1.0,0.0,2.175,1.7298
1.0,0.0,2.1705,1.7316
1.0,0.0,2.2178,1.6645
1.0,0.0,2.2437,1.6019
1.0,0.0,2.2188,1.6185
1.0,0.0,2.2596,1.5632
1.0,0.0,2.2595,1.5632
1.0,0.0,2.2603,1.5599
1.0,0.0,2.2603,1.5596
1.0,0.0,2.2605,1.5583
1.0,0.0,2.2606,1.5576
1.0,0.0,2.2606,1.5575
1.0,0.0,2.2605,1.5575
1.0,0.0,2.2606,1.5567
1.0,0.0,2.2607,1.5563
1.0,0.0,2.2608,1.5561
1.0,0.0,2.2607,1.5561
1.0,0.0,2.2609,1.554
1.0,0.0,2.2609,1.5539
1.0,0.0,2.261,1.5534
1.0,0.0,2.2609,1.5534
1.0,0.0,2.261,1.5531
1.0,0.0,2.2609,1.5532
1.0,0.0,2.2611,1.5524
1.0,0.0,2.2611,1.5523
1.0,0.0,2.2611,1.5522
1.0,0.0,2.2611,1.5519999999999998
1.0,0.0,2.2611,1.5519
1.0,0.0,2.2611,1.5518
1.0,0.0,2.2611,1.5517
1.0,0.0,2.2611,1.5516
1.0,0.0,2.2611,1.5515
1.0,0.0,2.2612,1.5514
1.0,0.0,2.2612,1.5512
1.0,0.0,2.2612,1.5511
1.0,0.0,2.2612,1.551
2.0,1.0,2.0123,2.2265
2.0,1.0,2.015,2.2238
2.0,1.0,2.0129,2.2259
2.0,1.0,2.0146,2.2242
2.0,1.0,2.0121,2.2267
2.0,1.0,2.0125,2.2263
2.0,1.0,2.0142,2.2246
2.0,1.0,2.0127,2.2261
2.0,1.0,2.0118,2.227
2.0,1.0,2.0145,2.2243
2.0,1.0,2.0141,2.2247
2.0,1.0,2.0138,2.225
2.0,1.0,2.0122,2.2266
2.0,1.0,2.0151,2.2237
2.0,1.0,2.0143,2.2245
2.0,1.0,2.0126,2.2262
2.0,1.0,2.0149,2.2239
2.0,1.0,2.013,2.2258
2.0,1.0,2.0117,2.2271
2.0,1.0,2.0155,2.2233
2.0,1.0,2.0131,2.2257
2.0,1.0,2.0119,2.2269
2.0,1.0,2.0147,2.2241
2.0,1.0,2.0135,2.2253
2.0,1.0,2.0137,2.2251
2.0,1.0,2.0154,2.2234
2.0,1.0,2.0139,2.2249
2.0,1.0,2.0133,2.2255
2.0,1.0,2.0153,2.2235
2.0,1.0,2.0134,2.2254
2.0,1.0,2.0115,2.2272
2.0,1.0,2.0156,2.2231
2.0,1.0,2.0113,2.2274
2.0,1.0,2.0114,2.2273
2.0,1.0,2.0164,2.2223
2.0,1.0,2.0159,2.2228
2.0,1.0,2.0158,2.2229
2.0,1.0,2.0111,2.2276
2.0,1.0,2.0165,2.2222
2.0,1.0,2.016,2.2227
2.0,1.0,2.0112,2.2275
2.0,1.0,2.0162,2.2225
2.0,1.0,2.0163,2.2224
2.0,1.0,2.0157,2.2230000000000003
2.0,1.0,2.0161,2.2226
2.0,1.0,2.0168,2.2218
2.0,1.0,2.0109,2.2277
2.0,1.0,2.0166,2.222
2.0,1.0,2.0167,2.2219
2.0,1.0,2.0171,2.2215
2.0,1.0,2.1268,2.035
2.0,1.0,2.1265,2.0347
2.0,1.0,2.1275,2.0311
2.0,1.0,2.128,2.0297
2.0,1.0,2.1287,2.0284
2.0,1.0,2.129,2.0267
2.0,1.0,2.1298,2.0235
2.0,1.0,2.1308,2.0202
2.0,1.0,2.1314,2.0169
2.0,1.0,2.1319999999999997,2.008
2.0,1.0,2.1371,1.9952
2.0,1.0,2.1363,1.9959
2.0,1.0,2.1362,1.9959
2.0,1.0,2.1382,1.9924
2.0,1.0,2.1386,1.99
2.0,1.0,2.1395,1.9873
2.0,1.0,2.1421,1.9811
2.0,1.0,2.1415,1.9815
2.0,1.0,2.1446,1.9781
2.0,1.0,2.1456,1.9766
2.0,1.0,2.1463,1.9727
2.0,1.0,2.1475,1.9684
2.0,1.0,2.1479,1.9649
2.0,1.0,2.1487,1.9591
2.0,1.0,2.1495,1.9491
2.0,1.0,2.1633,1.9194
2.0,1.0,2.1651,1.9106
2.0,1.0,2.1654,1.9071
2.0,1.0,2.1727,1.8939
2.0,1.0,2.1739,1.8847
2.0,1.0,2.1748,1.8738
2.0,1.0,2.1758,1.8597
2.0,1.0,2.1771,1.8507
2.0,1.0,2.1775,1.8433
2.0,1.0,2.178,1.8361
2.0,1.0,2.18,1.8094
2.0,1.0,2.181,1.8006
