State,Action,Objective 0,Objective 1
0.0,1.0,3.5464,3.2122
0.0,1.0,3.5460000000000003,3.2126
0.0,1.0,3.5462,3.2124
0.0,1.0,3.5463,3.2123
0.0,1.0,3.5461,3.2125
0.0,0.0,3.2399,3.3572
0.0,0.0,3.2397,3.3574
0.0,0.0,3.2398,3.3573
0.0,0.0,3.2396,3.3575
0.0,0.0,3.2404,3.3566
0.0,0.0,3.2403,3.3567
0.0,0.0,3.2402,3.3568
0.0,0.0,3.2393,3.3576
0.0,0.0,3.24,3.3569
0.0,0.0,3.2365,3.3582
0.0,0.0,3.2361,3.3586
0.0,0.0,3.2369,3.3577
0.0,0.0,3.2368,3.3578
0.0,0.0,3.2362,3.3584
0.0,0.0,3.2363,3.3583
0.0,0.0,3.2366,3.3579
0.0,0.0,3.2721,3.2897
0.0,0.0,3.2722,3.2895
0.0,0.0,3.2719,3.2898
0.0,0.0,3.2711,3.2906
0.0,0.0,3.2715,3.2902
0.0,0.0,3.2733,3.2869
0.0,0.0,3.2725,3.2876
0.0,0.0,3.273,3.2871
0.0,0.0,3.2726,3.2875
0.0,0.0,3.2727,3.2874
0.0,0.0,3.2723,3.2877
0.0,0.0,3.2680000000000002,3.2914
0.0,0.0,3.2676,3.2918
0.0,0.0,3.2683,3.2910000000000004
0.0,0.0,3.2678,3.2915
0.0,0.0,3.2685,3.2908
0.0,0.0,1.7763,3.8737
0.0,0.0,1.7343,3.9078
0.0,0.0,1.7647,3.8744
0.0,0.0,1.7641,3.8745
0.0,0.0,1.764,3.8745
0.0,0.0,1.7637,3.8745
0.0,0.0,1.7636,3.8745
0.0,0.0,1.7633,3.8746
0.0,0.0,1.7632,3.8746
0.0,0.0,1.7629,3.8746
0.0,0.0,1.7628,3.8746
0.0,0.0,1.7626,3.8746
0.0,0.0,1.7623,3.8747
0.0,0.0,1.7622,3.8747
0.0,0.0,1.7621,3.8747
1.0,1.0,3.3681,3.4548
1.0,1.0,3.3680000000000003,3.4549
1.0,1.0,3.3679,3.455
1.0,1.0,3.3683,3.4546
1.0,1.0,3.3682,3.4547
1.0,1.0,3.3684,3.4545
1.0,1.0,3.3678,3.4551
1.0,1.0,3.3686,3.4542
1.0,1.0,2.1661,3.7958
1.0,1.0,2.1642,3.7967
1.0,1.0,2.1622,3.7972
1.0,1.0,2.1606,3.7975
1.0,1.0,2.1596,3.7976
1.0,1.0,2.1582,3.7978
1.0,1.0,2.1566,3.7984
1.0,1.0,2.1563,3.7984
1.0,1.0,2.1548,3.7987
1.0,1.0,2.1535,3.799
1.0,1.0,2.1514,3.7992
1.0,1.0,2.1474,3.7993
1.0,1.0,2.1441,3.7995
1.0,1.0,2.1438,3.7996
1.0,1.0,2.1427,3.7997
1.0,1.0,2.1425,3.7997
1.0,1.0,2.1416,3.7998
1.0,1.0,2.1413,3.7998
1.0,2.0,1.455,4.0515
1.0,2.0,1.454,4.052
1.0,2.0,1.4526,4.0523
1.0,2.0,1.4803,4.0238
1.0,2.0,1.445,4.0527
1.0,2.0,1.4449,4.0527
1.0,2.0,1.4441,4.0528
1.0,2.0,1.444,4.0528
1.0,2.0,1.4428,4.0529
1.0,2.0,1.4427,4.053
1.0,2.0,1.4423,4.053
1.0,2.0,1.4409,4.0532
1.0,2.0,1.4409999999999998,4.0531
1.0,2.0,1.4407,4.0532
1.0,2.0,1.4404,4.0532
1.0,2.0,1.44,4.0532
1.0,2.0,1.4399,4.0532
1.0,2.0,1.4398,4.0532
2.0,0.0,3.6304,2.6408
2.0,0.0,3.6303,2.6409
2.0,0.0,3.6306,2.6406
2.0,0.0,3.6302,2.641
2.0,0.0,3.6305,2.6407
2.0,0.0,3.6307,2.6404
2.0,0.0,3.6308,2.6403
2.0,0.0,3.63,2.6411
2.0,0.0,3.6341,2.6366
2.0,0.0,3.6338,2.6369
2.0,0.0,3.634,2.6367
2.0,0.0,3.6337,2.637
2.0,0.0,3.6336,2.6371
2.0,0.0,3.6342,2.6365
2.0,0.0,3.6344,2.6363
2.0,0.0,3.6339,2.6368
2.0,0.0,3.6334,2.6373
2.0,0.0,3.6335,2.6372
2.0,0.0,3.6333,2.6374
2.0,0.0,3.6310000000000002,2.6396
2.0,0.0,3.6309,2.6397
2.0,0.0,3.6372,2.6331
2.0,0.0,3.6376,2.6327
2.0,0.0,3.6373,2.6329
2.0,0.0,3.6369,2.6333
2.0,0.0,3.6368,2.6334
2.0,0.0,3.637,2.6332
2.0,0.0,3.6374,2.6328
2.0,0.0,3.6377,2.6304
2.0,0.0,3.6395,2.6274
2.0,0.0,3.6394,2.6275
2.0,0.0,3.6396,2.6273
2.0,0.0,3.639,2.6278
2.0,0.0,3.6391,2.6277
2.0,0.0,3.6398,2.627
2.0,0.0,3.6392,2.6276
