s,a,ns,N0,N1,vs0,vs1
0,0,7,2.090699851440797,2.9742321169876043,2.678,2.3749
0,0,7,2.778199851440797,2.6567321169876044,2.6703,2.3827
0,0,7,2.0466998514407964,3.000107116987605,2.6621,2.3888
0,0,7,2.7989498514407973,2.6354821169876046,2.6878,2.3647
0,0,7,1.8666998514407966,3.0617321169876046,2.0855,2.6065
0,0,7,2.1264498514407966,2.9327321169876046,2.8158,2.2316
0,0,7,1.8119498514407968,3.1152321169876043,2.0419,2.6932
0,0,7,1.860199851440797,3.0698571169876048,2.0951,2.6035
0,0,7,2.7760748514407974,2.6587321169876046,2.6698,2.3832
0,0,7,1.8094498514407968,3.1156071169876047,2.0363,2.6941
0,0,7,2.0938248514407967,2.9716071169876046,2.6831,2.3696
0,0,7,1.8125748514407969,3.1148571169876047,2.0465,2.6923
0,0,7,1.864449851440797,3.0623571169876045,2.0795,2.6081
0,0,7,1.809199851440797,3.1157321169876044,2.035,2.6944
0,0,7,1.862199851440797,3.0623571169876045,2.0703,2.6098
0,0,7,2.0930748514407966,2.972357116987604,2.6812,2.3716
0,0,7,2.100574851440797,2.942857116987605,2.8077,2.2369
0,0,7,2.7978248514407964,2.6368571169876045,2.6867,2.366
0,0,7,2.0951998514407966,2.9698571169876047,2.6868,2.3657
0,0,7,2.120199851440797,2.9358571169876044,2.8161,2.2313
0,0,7,1.8135748514407968,3.1147321169876045,2.0479,2.6919
0,0,7,2.124949851440797,2.9338571169876047,2.8131,2.234
0,0,7,1.8129498514407967,3.114607116987605,2.0234,2.6964
0,0,7,2.084199851440797,2.981232116987605,2.6807,2.3722
0,0,7,1.8331998514407968,3.108857116987605,2.0569,2.689
0,0,7,2.797574851440797,2.636982116987604,2.6867,2.366
0,0,7,2.0564498514407967,2.9978571169876047,2.6626,2.3885
0,0,7,1.8090748514407968,3.1156071169876047,2.0363,2.6941
0,0,7,1.8660748514407968,3.0618571169876043,2.0839,2.607
0,0,7,2.787449851440796,2.6473571169876045,2.6751,2.3779
0,0,7,2.083949851440797,2.9813571169876045,2.68,2.3728
0,0,7,2.7871998514407967,2.647732116987605,2.6743,2.3787
0,0,7,1.859324851440797,3.0703571169876045,2.0967,2.6028
0,0,7,2.7779498514407974,2.6568571169876045,2.6698,2.3832
0,0,7,2.7948248514407967,2.639857116987605,2.6825,2.3703
0,0,7,2.110574851440797,2.9407321169876046,2.8077,2.2369
0,0,7,2.1345748514407967,2.9287321169876046,2.814,2.2332
0,0,7,2.053949851440797,2.9988571169876046,2.6621,2.3888
0,0,7,1.811699851440797,3.115357116987605,2.0395,2.6936
0,0,7,2.077574851440797,2.9871071169876044,2.668,2.3848
0,0,7,2.0493248514407965,2.9996071169876046,2.6621,2.3888
0,0,7,2.136449851440797,2.9268571169876045,2.8191,2.2282
0,0,7,2.779449851440797,2.6554821169876046,2.6735,2.3795
0,0,7,1.8389498514407967,3.105982116987605,2.0564,2.6891
0,0,7,1.8389498514407967,3.105732116987604,2.0586,2.6878
0,0,7,2.4675748514407965,2.809732116987605,2.0522,2.6907
