Method,Repetitions,epsilon
mls,10,0.3172455079337295
ils,10,0.3671063061141342
mls,5,0.34111747236201406
mls,15,0.30496526790780054
mls,20,0.24456681215017229
mls,25,0.24611027367520055
ils,5,0.35246451780314425
ils,15,0.375809085201503
ils,20,0.29514117406873375
ils,25,0.3031964744192006
