Value0,Value1,Rollout,Runtime,Method
2.067011463226859,3.324134148305947,0,3.1438934803009033,ils
2.0588658124860335,2.8805553931517007,1,2.253756284713745,ils
2.4842232306855583,3.2138161629978237,2,2.3011443614959717,ils
2.138710054170131,2.5714984969244794,3,2.7191240787506104,ils
2.300713269474387,2.9591867965349414,4,2.5832204818725586,ils
2.8369805323819053,3.1632787489298653,5,2.721618890762329,ils
2.1869093147118486,3.4230767792901378,6,2.526550769805908,ils
2.970493063026868,2.87742667761341,7,2.637995481491089,ils
2.053433196226006,3.5115369810450012,8,2.6340701580047607,ils
2.098616319244102,3.2645860792697277,9,3.145883083343506,ils
2.441876158654758,2.9891620837574835,10,3.0780856609344482,ils
2.3224202039462623,3.2034020279411557,11,2.50779128074646,ils
2.227740321738815,3.064994712623491,12,3.080906391143799,ils
2.505425488583514,3.417903937919856,13,2.3217580318450928,ils
2.2506377182010486,3.392920722845926,14,2.342562675476074,ils
2.8039424476076,3.170252509884097,15,2.1561026573181152,ils
1.5882746046308422,3.6894385883956047,16,2.72271990776062,ils
3.3496754412863776,3.1159182149469413,17,2.3646552562713623,ils
1.7054981152247626,3.2750769308259615,18,2.6579346656799316,ils
2.0106897816607714,3.620457652327256,19,2.1859939098358154,ils
2.596353589536549,3.423935402566964,20,2.584986448287964,ils
2.892752400596746,3.1289447385270948,21,2.2661941051483154,ils
2.400227951649158,3.3463147539379765,22,2.308722496032715,ils
2.914668259263396,3.0596647441523364,23,2.6064186096191406,ils
2.8913062365694815,3.3433145505497306,24,2.578639507293701,ils
2.737123657481139,3.517297512236322,25,2.448045015335083,ils
2.7732286951009604,3.019002566739128,26,2.5118579864501953,ils
2.7970620594694,3.0175021932994963,27,2.695096969604492,ils
2.4015596451926284,2.8286379885594406,28,2.470766305923462,ils
2.192477734127955,3.2566074577986086,29,2.4541170597076416,ils
2.0492362011524836,3.1692773162769514,30,2.5541718006134033,ils
2.360943938879449,3.069155606623062,31,2.5478200912475586,ils
2.4562247879249157,3.3739055246248477,32,2.580859661102295,ils
3.107395029720143,3.1227690385775198,33,2.9193902015686035,ils
2.8242025958827277,3.072511260645187,34,2.5103554725646973,ils
2.21826337675806,3.1334761179067385,35,2.4289002418518066,ils
3.167888164987424,2.889419725321024,36,2.41158390045166,ils
2.5685505678917275,3.527628928659111,37,2.8585991859436035,ils
2.5344171165426954,3.3620358664188537,38,2.8776798248291016,ils
2.0230002195344996,3.053928654396766,39,2.249690294265747,ils
2.5220643575526798,2.747758313991041,40,2.228591203689575,ils
2.6601701297117955,3.0213559396733602,41,2.2461605072021484,ils
2.6297349390682303,2.6813911011743907,42,2.78973650932312,ils
2.4521017977810806,3.5376818653496134,43,2.633915424346924,ils
2.3259791895616475,3.345341762367143,44,2.312962055206299,ils
3.2813365648369897,2.48206262444442,45,2.9324793815612793,ils
2.685397217506448,2.703291559107521,46,2.499297857284546,ils
2.674343618366984,2.988678791699537,47,2.8943278789520264,ils
2.709518503768399,3.0902687235585837,48,2.4358396530151367,ils
2.8616239901829554,3.459897710026249,49,2.601858615875244,ils
2.5675268026526097,2.9321940056309184,50,2.390805721282959,ils
1.8714162002973909,3.3676519427156753,51,2.6077558994293213,ils
2.4504173908979485,3.4413122556705287,52,2.3188626766204834,ils
2.2200785644258705,3.223354301613104,53,2.2954161167144775,ils
2.7440739816514172,2.913929737521406,54,2.3943638801574707,ils
3.2047956691659354,3.2541094837685463,55,3.5249292850494385,ils
1.9127886005332189,3.356574707380319,56,2.7662408351898193,ils
2.1390416825550536,3.1272691986869727,57,2.961729049682617,ils
1.7122738555614982,3.1722011645449153,58,3.32696270942688,ils
2.458308923742736,3.049267530560375,59,2.246826410293579,ils
2.3495949724271457,3.0371799709891047,60,2.519031286239624,ils
2.5863986438327773,3.4005099612325145,61,2.7696001529693604,ils
2.4645405818912427,3.07714868734595,62,2.8275530338287354,ils
2.3839121357260926,3.197096641908115,63,2.4766271114349365,ils
2.370488142758653,3.1141777083463453,64,4.089123725891113,ils
2.730157722674964,2.9239478601366304,65,2.719651937484741,ils
1.798014428492902,3.53089334470653,66,3.1660683155059814,ils
2.1379845419470116,2.857497338598739,67,2.3151586055755615,ils
2.12975087603176,2.954508572692343,68,2.613616943359375,ils
2.4303182603877582,3.2050444799090707,69,3.388062000274658,ils
2.4216141867041676,3.0606609405627943,70,2.7451534271240234,ils
1.816463317788394,3.5032556760546534,71,3.93465518951416,ils
2.3185259244958343,2.8027648603579083,72,2.6986441612243652,ils
2.01621972829432,3.2321877253665128,73,2.564656972885132,ils
2.082043605121455,2.635557646660934,74,2.5860342979431152,ils
2.2785620337456094,3.423649461859588,75,2.9716038703918457,ils
2.251564081474199,3.281701503448393,76,2.6124517917633057,ils
3.0280156198138646,2.624374289647996,77,2.104581832885742,ils
2.6613893213066646,3.2549562233342035,78,3.270533800125122,ils
3.1244742218337573,2.6821099293828343,79,3.0182204246520996,ils
2.1597853688830306,3.37128567994574,80,2.6097545623779297,ils
1.8162728181633037,3.3137498886862486,81,4.301705360412598,ils
3.2772056113664485,3.0872869815808857,82,3.1410322189331055,ils
2.264548921256182,3.495434090160591,83,2.46711802482605,ils
2.3122893338031956,3.1836915009366686,84,3.0849974155426025,ils
2.384996110869011,2.810312038165243,85,3.6078076362609863,ils
2.0945302384886455,3.096117190785753,86,3.0066208839416504,ils
2.922121982029641,3.1257352478812295,87,3.2728822231292725,ils
2.6458834754400478,3.3301577203380317,88,3.338989734649658,ils
2.33108573147545,3.1489519906860606,89,2.6726043224334717,ils
2.7294532720465337,3.455314992561982,90,2.7461471557617188,ils
2.8622506992483037,2.656858496919931,91,2.7470321655273438,ils
2.7501330884096564,2.5662912613675744,92,2.327497959136963,ils
2.428867137304958,3.222189748404607,93,2.397449016571045,ils
2.512083756718026,2.9325799877702794,94,3.067290782928467,ils
2.226478557431514,3.542169979930382,95,2.8920607566833496,ils
1.5807071994916864,3.3678520824767366,96,2.4028685092926025,ils
1.9430797746747588,3.313034153847252,97,2.5855722427368164,ils
2.6859441761447966,3.290278798313986,98,2.843427896499634,ils
2.832537473266593,3.0377676641331965,99,2.875065565109253,ils
2.621176508563101,2.8181322056751,100,2.484124183654785,ils
2.1447320319490872,3.062601887114959,101,2.5983779430389404,ils
1.6628333479543473,3.4257180790532233,102,2.202451467514038,ils
2.150863999256893,3.425695230015823,103,3.020921468734741,ils
2.2216190274622667,2.997834393078448,104,3.5815184116363525,ils
2.5890047050691694,3.4976536468912984,105,2.4800221920013428,ils
2.4962839056750363,3.050371620879786,106,2.714719772338867,ils
2.090428507522774,3.4694085078894146,107,3.5722126960754395,ils
