Value0,Value1,Rollout,Runtime,Method
3.0975259705309983,2.2845014703160897,0,0.07654547691345215,nn
2.517919015237804,2.7410277444830666,1,0.0755469799041748,nn
3.4407798235108578,2.360818969469077,2,0.07483887672424316,nn
2.8414915219988437,2.4449670749841355,3,0.07441163063049316,nn
3.3625511076619525,2.3818673345658614,4,0.07430291175842285,nn
2.9576813799890136,2.4384728526964894,5,0.07354950904846191,nn
2.528424665686088,2.4026642760112833,6,0.07285070419311522,nn
3.2508204512532015,2.6334275299755667,7,0.07277655601501465,nn
3.103812468005166,2.28080209375258,8,0.07258296012878418,nn
2.3839436831489045,3.0850896597684803,9,0.07319831848144531,nn
2.7503195369651188,2.162731660918075,10,0.0721280574798584,nn
3.2058269092552893,2.0263077428753267,11,0.0724630355834961,nn
2.9816208285626,3.2055610086961224,12,0.07183098793029785,nn
2.563916105680202,2.7959468988723373,13,0.07215142250061035,nn
2.6685421126422493,2.093024762101908,14,0.0721292495727539,nn
2.8616385388454826,2.2671953240272886,15,0.07203388214111328,nn
2.6891255810065084,3.070460108961928,16,0.07198023796081543,nn
2.8411652935273684,2.5507803829881235,17,0.0720369815826416,nn
3.4126326877678577,2.227809634904142,18,0.07731008529663086,nn
2.56646841950111,2.0248924020496686,19,0.07294344902038574,nn
3.06078178707041,3.1534912454680133,20,0.07198953628540039,nn
2.7114310225526963,2.7692745017192992,21,0.0718696117401123,nn
2.668190086352213,2.7550251698979933,22,0.0717935562133789,nn
3.1593469382586257,2.225053096925133,23,0.07217764854431152,nn
2.8384101168474483,3.1523577706475256,24,0.07162666320800781,nn
2.641131156890215,2.94369242035502,25,0.0723581314086914,nn
2.987617518484569,2.325041375372485,26,0.07137250900268555,nn
2.7347526094212027,3.258468515519226,27,0.07203364372253418,nn
2.564037328812295,2.8228913271043217,28,0.07126736640930176,nn
3.056598003715541,2.5128437663461782,29,0.07148504257202147,nn
2.427132716326309,3.0356781561381445,30,0.07181525230407715,nn
2.4417758550259103,2.3968889785042324,31,0.07152366638183594,nn
2.7079394327401065,3.050474792342865,32,0.07137155532836914,nn
2.664629576878504,2.34413860577418,33,0.07225942611694336,nn
2.9101339759222213,2.20016334979355,34,0.07183146476745605,nn
3.0702638751435134,2.1077390714701068,35,0.07141447067260742,nn
2.6897056727504265,2.3496109874874587,36,0.07203078269958496,nn
3.1091384967272164,2.8428904890398923,37,0.07195878028869629,nn
2.6717255801729856,3.4286866525460087,38,0.07169127464294434,nn
