Value0,Value1,Rollout,Runtime,Method
2.5630165669462492,3.3544983838283504,0,7.408353567123413,mls
1.8531468940393758,3.3113398245154086,1,7.408437967300415,mls
2.7683250466092386,3.107289741966275,2,7.526824712753296,mls
1.8725028355256172,3.687853039800345,3,6.696628570556641,mls
1.8059071822816417,3.2504376622365805,4,4.53553581237793,mls
1.8832149636248665,2.9751219365102717,5,8.07029390335083,mls
1.5590389480394453,3.36996899299638,6,5.865443706512451,mls
1.5884262971805494,3.216032466729369,7,7.042364835739136,mls
2.109234692444458,3.497823242260866,8,6.662938117980957,mls
2.139202241084048,2.7430835331714465,9,5.124297142028809,mls
2.208857492891857,3.102234295110322,10,6.255287408828735,mls
1.9214550188406359,3.696277160756556,11,6.289655685424805,mls
3.323791270950836,3.3726636357571795,12,6.092240571975708,mls
1.4751833052430448,3.4187418656388853,13,5.838752746582031,mls
2.4685815466372145,2.824138077435545,14,6.356397390365601,mls
2.744748753112896,3.23080080661396,15,4.962440729141235,mls
1.7784273202427487,3.1596166246719566,16,5.887990236282349,mls
2.301215150110451,3.4441989647048077,17,6.184167385101318,mls
2.363423010251729,3.187157552845275,18,5.78444766998291,mls
2.677905627629582,3.7619938515556766,19,6.366501808166504,mls
2.2215928935904694,3.0529054091013736,20,6.6080615520477295,mls
2.3908222861169794,3.1303487313518317,21,7.8532795906066895,mls
2.1090308537053977,2.952482861199184,22,6.509280681610107,mls
2.159277290466981,3.740005937806204,23,6.206296682357788,mls
1.5257660791876673,3.1329974153978384,24,5.430833578109741,mls
2.955492782973198,3.405994954936649,25,6.518403768539429,mls
2.1354822281161505,3.479976875897258,26,7.410972833633423,mls
2.725139087241751,2.882173545707043,27,8.538872718811035,mls
1.5161817152453612,3.4844261458800534,28,6.436999797821045,mls
1.6751778699390822,3.0713775516889354,29,5.611855506896973,mls
2.401971927460953,3.270383599243338,30,5.4840850830078125,mls
2.588971324951757,2.997077135781577,31,6.699660301208496,mls
2.5112551173896076,2.9336473886289016,32,5.661245822906494,mls
2.5452927588821512,2.7671377804440582,33,5.653652191162109,mls
2.5612388095884513,2.9815500679538944,34,5.5953309535980225,mls
2.145771886819727,2.693845612003373,35,5.65747332572937,mls
3.0438858665336275,2.572614271329509,36,5.49930477142334,mls
2.722168375155207,3.5294916813980652,37,5.504519939422607,mls
2.4326643846079086,2.6865815317293826,38,4.8609960079193115,mls
2.2774521939774686,3.0301661256409123,39,6.850767612457275,mls
2.4689413366078226,3.414526432221077,40,5.373474597930908,mls
2.466102947955666,3.4967237247131067,41,4.504464387893677,mls
2.8731486560598056,3.058773864665251,42,4.773605585098267,mls
1.9039798459635,3.166049405747346,43,6.625424385070801,mls
1.47703115796913,3.2678330523961026,44,5.505573034286499,mls
2.6670695060039327,2.6076860444830046,45,5.000407457351685,mls
3.0939383883841756,3.1574369713603088,46,5.126801490783691,mls
2.264452813236866,2.529884117583384,47,5.4661736488342285,mls
2.300069756077947,2.9971927599405257,48,5.913597822189331,mls
2.111237209571234,3.4839519368419034,49,5.881658554077148,mls
1.9071665404967835,3.37855666944911,50,5.3784730434417725,mls
1.7892507542868032,3.187088963852344,51,6.470118284225464,mls
3.475822349869478,2.631139995080089,52,3.7869045734405518,mls
2.740163887361745,3.6221107264761203,53,5.423757553100586,mls
2.5770267823364517,3.853142806113413,54,6.210951328277588,mls
1.9803259985912174,3.113024403896072,55,6.5701563358306885,mls
2.4878504682283733,2.959634982260144,56,6.661695718765259,mls
2.3460324986755237,3.2939615609173893,57,8.986701726913452,mls
2.685304709225314,3.3451811435384733,58,8.202581405639648,mls
2.6932297422200517,3.0207596877906804,59,7.415468454360962,mls
2.256227450696492,2.8758606488004665,60,5.1908299922943115,mls
2.111149225727197,2.958719890376452,61,5.821499347686768,mls
2.9873050637462413,3.3006523995816566,62,6.6989524364471436,mls
2.5055678943861515,3.3933882467125027,63,8.43199872970581,mls
1.9072414115981924,3.7528030678403277,64,6.64635968208313,mls
2.7315961617465354,3.118188629804313,65,5.348060131072998,mls
2.6045068054423672,3.0435338323108687,66,6.424287557601929,mls
1.7461564993650247,3.3291281415083613,67,4.78242826461792,mls
2.81421709956681,3.124946791361885,68,5.84532356262207,mls
2.2746237907808466,3.0115149515414337,69,5.579267978668213,mls
1.7022305411267415,3.628632607127813,70,7.642920970916748,mls
1.647990110828136,3.5556062471871557,71,6.23106837272644,mls
1.9758840792902117,3.4730588337698944,72,6.6090593338012695,mls
2.164319552593766,3.2192452229817823,73,6.706242084503174,mls
2.1667451835562463,2.9790302774659585,74,4.923009634017944,mls
2.419146579842362,3.322880186401193,75,7.790622234344482,mls
1.6743238133929577,3.9224033392580266,76,6.251728296279907,mls
2.2272383617630482,3.0665855576546486,77,5.596759557723999,mls
2.2624566776422563,2.9084129147063207,78,6.927854537963867,mls
2.720829073106969,3.065650605393897,79,7.593344211578369,mls
2.7368783129042473,3.485265518890443,80,6.559805631637573,mls
2.5989016628746935,3.463745684580734,81,9.265888929367065,mls
2.374461686758855,3.2009249747018087,82,7.456926107406616,mls
2.1947289156938585,2.801198570320496,83,7.286377906799316,mls
2.1234411653421397,3.442409800259275,84,6.310774087905884,mls
2.4725532128285983,3.0006372193944237,85,6.161304473876953,mls
2.4559969901525025,3.5325665043893784,86,6.854719161987305,mls
1.7990294739903385,3.5166919901471085,87,8.615116119384766,mls
2.41039710701883,3.326133971716201,88,4.582817316055298,mls
2.1961363065893216,3.141118162679601,89,5.0665740966796875,mls
3.062066943915805,2.9926019492872102,90,7.207687616348267,mls
2.4060635139594204,3.516056324946569,91,6.140485525131226,mls
2.6451498965010427,3.1672387277119225,92,6.542280197143555,mls
1.9559979300454065,3.1930738788959614,93,8.938887596130371,mls
2.1080923745820237,3.216153993345857,94,7.942754507064819,mls
2.3602061435791297,3.464090443288708,95,4.981242895126343,mls
1.9626646404609733,3.5927486765461514,96,6.416300535202026,mls
2.2832424371089974,3.3644122501857137,97,6.576444625854492,mls
2.340223640255628,3.232302630599404,98,7.158854961395264,mls
2.026269916259576,2.961247358580412,99,7.360572099685669,mls
3.215083719818562,2.3701892415565378,100,6.491787672042847,mls
2.0079068299403104,3.1162086030923315,101,8.830545663833618,mls
1.560742874951574,3.212820227695553,102,6.719510555267334,mls
2.2606784533231563,2.7640093807658515,103,5.69485330581665,mls
1.8306717333887217,3.2824400870384784,104,6.645463943481445,mls
2.413548217888916,3.3556182700775024,105,5.573525667190552,mls
2.301838105702749,3.0970327344688964,106,5.442289113998413,mls
2.4866529666610946,3.08220735544983,107,7.062454462051392,mls
2.382091265195453,2.9818945198580615,108,6.585928678512573,mls
2.2098064711695526,3.0318142374730352,109,6.979288339614868,mls
2.345622658590007,3.029176556178473,110,6.906020164489746,mls
2.51004608098326,3.3765438672638655,111,6.76770806312561,mls
2.483897742391621,3.2169170402514013,112,6.284754037857056,mls
1.7582633320099215,3.2269105360129053,113,5.566899299621582,mls
2.0492317922103864,2.90561255865627,114,7.234241485595703,mls
1.7980072875208388,3.381919504406345,115,6.369051933288574,mls
1.4008819422497145,3.3362292636394706,116,6.891180038452148,mls
2.6853761300406096,3.068507238430114,117,5.19369649887085,mls
2.7061068127937222,3.030933457407708,118,8.06327772140503,mls
2.750678922395384,2.7996161067187186,119,7.714300870895386,mls
2.541770202657421,3.190868525203706,120,7.256852388381958,mls
3.079019831330641,2.8170934777420475,121,4.690792560577393,mls
1.9908724788758347,3.2689306950375467,122,5.920898914337158,mls
2.331111075129239,3.563172325461923,123,7.410320281982422,mls
2.751058881452514,2.9376256533632934,124,5.162188768386841,mls
3.0101555547806513,3.022497305598723,125,6.4158477783203125,mls
2.198008220399814,3.2324520492423314,126,7.2456958293914795,mls
1.9932751623182021,2.805386947221116,127,6.805019378662109,mls
1.7836224875075288,3.3873326318099664,128,6.348712205886841,mls
2.154325605654008,3.460418972886927,129,5.320192098617554,mls
2.252468660670301,3.2287625843921286,130,7.212505102157593,mls
2.642326616246927,3.0279315517386025,131,5.2145256996154785,mls
2.0009560634572017,2.9120965754538815,132,6.228806734085083,mls
1.3353222086130099,3.4222532874359617,133,6.573614597320557,mls
2.102449132379641,3.221550905201656,134,5.571373462677002,mls
2.6383569340763873,3.4703351979233474,135,5.863128662109375,mls
2.667443719101494,3.0467874791105793,136,7.4333271980285645,mls
2.689145926934848,3.13120395132204,137,7.082191228866577,mls
1.7955353085223116,3.3938609487745457,138,8.435079097747803,mls
2.396712376513433,3.331723928823545,139,6.527873516082764,mls
2.2968941506772125,3.0216388231976268,140,6.502655029296875,mls
1.9564646877291016,3.5510737292850894,141,4.926187515258789,mls
2.0587781176900664,3.270140771968037,142,5.791306018829346,mls
2.5061834511745964,3.0954229756979257,143,6.975831747055054,mls
2.0236569262252284,3.4200071755152384,144,6.403602838516235,mls
1.9840002170813402,2.9188265717164996,145,4.963827133178711,mls
2.208806541554697,3.284859956947709,146,6.323547601699829,mls
2.143930839715663,2.841743041530986,147,5.939643144607544,mls
2.633513095151051,2.9403059907730773,148,5.788119792938232,mls
2.2893186296507473,3.1355790541841757,149,6.199006795883179,mls
2.312638414179124,2.9001390454220335,150,6.550676107406616,mls
1.5403517537995133,3.4251065911948735,151,6.805769205093384,mls
2.1601369285348557,2.960087391076435,152,4.772584676742554,mls
2.3977862199752846,3.0027915959883758,153,5.60779881477356,mls
2.5082381222015497,3.3699304929902913,154,7.389013051986694,mls
2.370924223419588,3.7642632989287277,155,4.826754331588745,mls
2.511235519107784,2.7706097761321664,156,6.691345930099487,mls
2.648790743865973,3.4673952575413107,157,7.607402563095093,mls
2.7282275143595434,3.4532897607054958,158,7.469642639160156,mls
