s,a,ns,N0,N1,vs0,vs1
0,1,3,1.6579219026516134,2.188472009227154,1.4693,2.2965
0,1,3,1.6584219026516136,2.187972009227154,1.4702,2.2956
0,1,3,1.6582969026516137,2.1880970092271537,1.4702,2.2956
0,1,3,1.6581719026516135,2.1882220092271543,1.47,2.2958
0,1,3,1.6585469026516135,2.187847009227154,1.4702,2.2956
0,1,3,1.6580469026516136,2.188347009227154,1.4698,2.296
0,1,3,1.6586719026516135,2.186597009227154,1.47,2.2958
0,1,3,1.6589219026516135,2.186347009227154,1.4702,2.2956
0,1,3,1.6587969026516136,2.186472009227154,1.4702,2.2956
0,1,3,1.6590469026516135,2.1853470092271543,1.4702,2.2956
0,1,3,1.6591719026516134,2.1852220092271537,1.4702,2.2956
0,1,3,1.6594219026516135,2.184972009227154,1.4698,2.296
0,1,3,1.6595469026516134,2.1848470092271537,1.47,2.2958
0,1,3,1.6592969026516136,2.1850970092271536,1.4696,2.2962
0,1,3,1.6660469026516136,2.167722009227154,1.4698,2.296
0,1,3,1.6659219026516137,2.167847009227154,1.4696,2.2962
0,1,3,1.8272969026516133,1.751722009227154,1.6997,1.6683
0,1,3,1.8295469026516136,1.7265970092271536,1.6997,1.6683
0,1,3,1.8315469026516134,1.719097009227154,1.6997,1.6683
0,1,3,1.8320469026516133,1.717722009227154,1.7007,1.6652
0,1,3,1.8324219026516135,1.716222009227154,1.7007,1.6652
0,1,3,1.8351719026516133,1.7069720092271539,1.7168,1.5713
0,1,3,1.8355469026516136,1.7058470092271538,1.7174,1.5687
0,1,3,1.8361719026516137,1.6942220092271536,1.719,1.5434
0,1,3,1.8365469026516135,1.693347009227154,1.7196,1.5415
0,1,3,1.8375469026516134,1.6815970092271537,1.7171,1.5705
0,1,3,1.8380469026516133,1.6789720092271536,1.7179,1.5677
0,1,3,1.8390469026516136,1.6745970092271538,1.7159,1.5721
0,1,3,1.8400469026516135,1.6728470092271541,1.7179,1.5677
0,1,3,1.8400469026516135,1.6717220092271539,1.7174,1.5687
0,1,3,1.8404219026516133,1.6615970092271537,1.7188,1.5439
0,1,3,1.8406719026516138,1.660972009227154,1.7192,1.5429
0,1,3,1.8407969026516136,1.6608470092271537,1.7194,1.5424
0,1,3,1.8409219026516137,1.6603470092271537,1.7198,1.541
0,1,3,1.8409219026516137,1.660222009227154,1.7198,1.5408
0,1,3,1.8410469026516134,1.659097009227154,1.7196,1.5414
0,1,3,1.8411719026516138,1.658847009227154,1.7198,1.5408
0,1,3,1.8412969026516135,1.6337220092271536,1.7179,1.5677
0,1,3,1.8415469026516134,1.632597009227154,1.7179,1.5677
0,1,3,1.8415469026516134,1.6323470092271541,1.718,1.5669
0,1,3,1.8427969026516133,1.6279720092271537,1.7168,1.5713
0,1,3,1.8426719026516136,1.6279720092271537,1.7167,1.5712
0,1,3,1.8431719026516136,1.6268470092271536,1.7174,1.5688
0,1,3,1.8432969026516137,1.626222009227154,1.7171,1.5705
0,1,3,1.8432969026516137,1.625972009227154,1.7171,1.5705
0,1,3,1.8432969026516137,1.6255970092271537,1.7173,1.5691
0,1,3,1.8436719026516135,1.624347009227154,1.718,1.5669
