State,Action,Objective 0,Objective 1
0,0,2.1514,3.3829
0,0,2.1251,3.3867
0,0,2.1236,3.3869
0,0,2.1292,3.3861
0,0,2.1251,3.3866
0,0,2.1241,3.3868
0,0,2.1249,3.3867
0,0,2.126,3.3865
0,0,2.1237,3.3869
0,1,1.7775,2.9356
0,1,1.7783,2.9355
0,1,1.7777,2.9356
0,1,1.8105,2.9309
0,1,1.8108,2.9308
0,1,1.7778,2.9356
0,1,1.7776,2.9356
0,1,1.778,2.9355
0,1,1.7824,2.9349
0,1,1.7784,2.9355
0,1,1.7781,2.9355
1,0,1.9707,2.846
1,0,1.9684,2.8464
1,0,1.9698,2.8462
1,0,1.9709,2.846
1,0,1.9696,2.8462
1,0,1.9693,2.8462
1,0,1.9682,2.8464
1,0,1.9681,2.8464
1,0,1.9683,2.8464
1,0,1.9705,2.8461
1,0,1.9691,2.8463
1,0,1.9988,2.842
1,0,1.9697,2.8462
1,0,1.9692,2.8462
1,1,2.238,3.0334
1,1,2.2167,3.0364
1,1,2.215,3.0366
1,1,2.2169,3.0364
1,1,2.2164,3.0365
1,1,2.2154,3.0366
1,1,2.2152,3.0366
1,1,2.2149,3.0367
1,1,2.215,3.0367
1,1,2.2156,3.0366
2,0,1.9211,3.3736
2,0,1.9212,3.3736
2,0,1.9244,3.3731
2,0,1.9428,3.3705
2,0,1.9224,3.3734
2,0,1.9233,3.3733
2,0,1.9418,3.3706
2,0,1.921,3.3736
2,0,1.9222,3.3735
2,0,1.9234,3.3733
2,0,1.9416,3.3707
2,1,2.0136,3.3603
2,1,2.0153,3.36
2,1,2.0131,3.3604
2,1,2.0129,3.3604
2,1,2.0135,3.3603
2,1,2.0128,3.3604
2,1,2.0154,3.36
2,1,2.0324,3.3576
2,1,2.013,3.3604
2,1,2.0141,3.3602
2,1,2.0142,3.3602
3,0,1.8327,3.6302
3,0,1.8479,3.6279
3,0,1.8328,3.6301
3,0,1.8569,3.6266
3,0,1.835,3.6298
3,0,1.8476,3.628
3,0,1.8345,3.6299
3,0,1.8336,3.63
3,1,1.7412,3.329
3,1,1.7583,3.3266
3,1,1.7406,3.3291
3,1,1.7575,3.3267
3,1,1.7644,3.3257
3,1,1.7405,3.3291
3,1,1.7394,3.3293
4,0,2.3239,3.2366
4,0,2.2915,3.2413
4,0,2.2905,3.2414
4,0,2.2906,3.2414
4,0,2.2908,3.2413
4,1,1.9308,2.7232
4,1,1.9318,2.7231
4,1,1.9309,2.7232
4,1,1.9563,2.7195
4,1,1.9562,2.7196
4,1,1.9316,2.7231
4,1,1.9314,2.7231
4,1,1.931,2.7232
4,1,1.9317,2.7231
4,1,1.9315,2.7231
4,1,1.9311,2.7232
4,1,1.9324,2.723
5,0,2.4463,3.6578
5,0,2.4146,3.6623
5,0,2.4147,3.6623
5,1,1.9528,3.4324
5,1,1.9178,3.4374
5,1,1.917,3.4376
5,1,1.9169,3.4376
6,0,2.781,3.5633
6,0,2.7805,3.5633
6,0,2.8115,3.5589
6,0,2.7822,3.563
6,0,2.7807,3.5633
6,0,2.7804,3.5634
6,0,2.7845,3.5628
6,0,2.7806,3.5633
6,0,2.811,3.559
6,0,2.7808,3.5633
6,0,2.7844,3.5628
6,1,1.9015,2.7729
6,1,1.9013,2.7729
6,1,1.9002,2.7731
6,1,1.9028,2.7727
6,1,1.9005,2.773
6,1,1.8998,2.7731
6,1,1.8997,2.7731
6,1,1.9071,2.7721
6,1,1.9033,2.7726
6,1,1.9036,2.7726
6,1,1.9037,2.7726
6,1,1.9022,2.7728
6,1,1.905,2.7724
6,1,1.9083,2.7719
6,1,1.9001,2.7731
6,1,1.9273,2.7692
6,1,1.901,2.7729
7,0,1.9481,3.6294
7,0,1.9491,3.6292
7,0,1.9474,3.6295
7,0,1.9471,3.6295
7,0,1.9476,3.6294
7,0,1.9473,3.6295
7,0,1.9483,3.6294
7,0,1.9496,3.6292
7,0,1.948,3.6294
7,0,1.9489,3.6292
7,0,1.9478,3.6294
7,0,1.9475,3.6295
7,0,1.9477,3.6294
7,0,1.9709,3.6261
7,0,1.9488,3.6293
7,0,1.9482,3.6294
7,0,1.9495,3.6292
7,0,1.9479,3.6294
7,1,1.7598,3.2077
7,1,1.7818,3.2046
7,1,1.7596,3.2078
7,1,1.7594,3.2078
7,1,1.7604,3.2077
7,1,1.7625,3.2074
7,1,1.7609,3.2076
7,1,1.7607,3.2076
7,1,1.7604,3.2076
7,1,1.7602,3.2076
7,1,1.7599,3.2077
7,1,1.7591,3.2078
7,1,1.7592,3.2078
7,1,1.7608,3.2076
7,1,1.7606,3.2076
7,1,1.7611,3.2076
