Value0,Value1,Rollout,Runtime,Method
2.9921397277067707,2.8991580506708527,0,8.849184513092041,ils
1.5380565862636635,3.0502720414548645,1,8.466137170791626,ils
2.9209608377008203,3.03165944369805,2,6.765674114227295,ils
2.955772381457752,3.129098674051975,3,11.46723484992981,ils
3.2419472537427247,2.7494598394550036,4,10.148923635482788,ils
1.9701533398975408,3.70109930500636,5,9.742105722427368,ils
1.3230943154529045,3.3972781736939055,6,11.573109149932861,ils
1.8080875451297767,3.2791393061994443,7,5.775451183319092,ils
2.6055100586760442,3.0831218516409162,8,8.518734216690063,ils
2.1396714663824254,3.424761631399612,9,9.662813425064087,ils
2.3008261178784335,3.1170484333596433,10,9.348700046539307,ils
1.9000944441231191,3.6375714972422104,11,9.048322916030884,ils
2.369315787034104,2.7167521716648304,12,10.23067307472229,ils
2.6460894910353567,3.4136200356708826,13,11.658329725265503,ils
1.9563789851897717,3.4553238980856897,14,8.301815748214722,ils
2.3906360833039617,3.6781787760418205,15,8.40786623954773,ils
2.252682586257287,3.388188043025359,16,7.757622718811035,ils
2.062271010148395,3.843461195146976,17,8.553230285644531,ils
2.751271021280538,3.0946479581316404,18,7.921292066574097,ils
1.7537695910536613,2.9258316541898224,19,8.519550323486328,ils
2.4413996024342115,2.96105778882068,20,8.130212783813477,ils
2.606598832792151,2.9066027612772607,21,7.079642057418823,ils
3.022371524985449,2.770587821343039,22,10.33504343032837,ils
1.4462108887855718,3.418374612085376,23,7.800129413604736,ils
2.0064052374120918,3.237790311002433,24,8.360554933547974,ils
2.288855599100245,2.920326868854001,25,7.690469264984131,ils
2.5556187687274026,3.3256380485070425,26,7.8862550258636475,ils
2.0089631653351083,2.953278627812164,27,8.784129619598389,ils
2.5857068130057055,3.598619324515026,28,8.420966863632202,ils
2.814035109520437,3.459932973209538,29,8.32124376296997,ils
2.1578947981520886,3.159186411307829,30,8.621062755584717,ils
2.721129564720031,3.8321660345212054,31,8.468633890151978,ils
2.351620182977464,3.502979627323607,32,6.525698661804199,ils
2.063393631267528,2.833820938871889,33,9.32361388206482,ils
1.923859702654941,3.497328671174389,34,9.382294178009033,ils
2.1707796606018053,3.4136566702659428,35,7.725360870361328,ils
3.0549241785521155,2.6248191616982246,36,5.555140733718872,ils
2.255489343494907,3.335303509263866,37,6.2206339836120605,ils
2.1170060478377817,3.2758706583066535,38,7.59189248085022,ils
2.48695900711276,2.986861055758277,39,7.408559083938599,ils
2.1546113480539963,3.2092273591164675,40,8.951594352722168,ils
1.9038559818440846,3.503123182068292,41,7.578359842300415,ils
2.2891534971551577,3.247755009756831,42,7.659286737442017,ils
2.4690273838358405,3.6609952787864155,43,9.683876991271973,ils
1.6895224027910047,3.386551673051327,44,9.450370788574219,ils
2.4399163722266426,3.4054725506519308,45,9.378150224685669,ils
2.4049578678472234,3.125018404554166,46,6.249312877655029,ils
1.877051888404127,3.3120196766366408,47,7.386764049530029,ils
1.0527425089552713,3.734993611699173,48,9.109544515609741,ils
2.6509541718938743,3.32331342509674,49,9.514386892318726,ils
1.8700490154688032,3.295959555962948,50,8.70808219909668,ils
2.419300191798582,3.4410436200678824,51,6.102851390838623,ils
2.4334023577094777,3.115728292066438,52,6.266119003295898,ils
2.3450147393992578,3.147890190696028,53,7.180614471435547,ils
2.347025166664727,2.7974080644385073,54,10.069576740264893,ils
2.755484942573218,2.8733378072892592,55,8.92317247390747,ils
2.2057779441799505,3.810569195666472,56,10.344760417938232,ils
2.9390769441418314,3.2298557171554143,57,8.018087387084961,ils
3.1221490593122985,3.0027280535947765,58,7.972058534622192,ils
2.698531418324929,3.0833380742646606,59,10.718597412109375,ils
1.3731622859900166,3.793568014201194,60,12.513481855392456,ils
2.4242573279190545,3.2320907292481067,61,8.203885316848755,ils
2.6863605969789504,3.1724380402357135,62,7.758965015411377,ils
1.612073901777689,3.2813038342157546,63,9.674918174743652,ils
1.4632533035435797,3.1696746305236783,64,10.70138144493103,ils
1.8445591984068062,3.0273008015910063,65,9.735917329788208,ils
2.812404287509585,2.7913452858864414,66,6.872715950012207,ils
3.268723823385375,3.3781790270046934,67,9.880048751831055,ils
2.4982185950334688,3.543751490529157,68,8.980687379837036,ils
2.268217775831226,3.1293751611379665,69,7.098813533782959,ils
3.005710266844777,2.700436135077338,70,5.955732107162476,ils
1.9434453979771167,3.0789443940693073,71,7.470480442047119,ils
2.00618534074535,3.047683259956377,72,9.218131303787231,ils
1.9366855800299794,3.661814346440015,73,9.60453987121582,ils
2.966827205688958,2.832396257711329,74,9.77997088432312,ils
2.3555765593312827,3.073952208294178,75,12.159569501876831,ils
2.0286782260279734,3.820885950952259,76,12.727784633636475,ils
1.8126819609962908,3.0420882036187686,77,8.783758640289307,ils
2.143649424461643,3.495587833716739,78,9.022679328918457,ils
2.9874762248806674,2.786597025816902,79,8.681277751922607,ils
2.637394419228478,3.82719035049074,80,9.891039371490479,ils
2.3591100987975735,3.1852640561640393,81,8.789538145065308,ils
1.6881556196899015,3.3861516841122774,82,10.341276168823242,ils
1.9760704112213983,3.6205124046986157,83,6.68536376953125,ils
2.357494757013844,3.3675275934106788,84,12.200259685516357,ils
2.323756293836984,3.048679280395534,85,14.084071397781372,ils
2.095734432124827,3.4735770014680227,86,10.976398706436157,ils
3.36957936602173,2.826140187716791,87,12.771944046020508,ils
2.316073700201095,3.386935352791423,88,13.802916049957275,ils
2.7434278428623493,2.7085000034951543,89,13.723151445388794,ils
2.5719932593003665,3.4643061540381934,90,13.229426860809326,ils
1.9051402159126278,3.1021739321531157,91,17.845287322998047,ils
2.7920904878009374,3.0551334070122644,92,12.017531871795654,ils
2.2983384259538924,3.648722870721793,93,15.216156959533691,ils
2.6079726003996355,3.282027091698407,94,12.66894006729126,ils
2.6920244543220813,2.8029189790811673,95,13.234585285186768,ils
2.093110841658435,3.2956728482988398,96,12.04048228263855,ils
2.3818544518403812,3.176172246370448,97,13.421591758728027,ils
3.8143885755847813,2.5299047282774474,98,9.292070150375366,ils
2.8415245261874515,2.9874424858458744,99,12.400763511657715,ils
2.347387429166726,3.2564481555515137,100,13.30823540687561,ils
2.0982492222809843,3.3409118482394953,101,13.853351593017578,ils
3.2719833260580917,3.084003722897416,102,11.324421644210815,ils
1.3987202689354192,3.354632482974904,103,9.9662926197052,ils
2.433380420856147,2.999113956236989,104,6.886712551116943,ils
3.0382221387825123,3.0017268713710563,105,6.490825891494751,ils
1.4688292107276504,3.363644873710555,106,7.451245546340942,ils
2.8212126586917186,3.7427349118044484,107,7.211907863616943,ils
2.3051157905086757,3.7107145921962714,108,7.068603754043579,ils
3.0453856256346215,2.8182986799785192,109,5.784884691238403,ils
2.222545711474251,3.3845536734749024,110,8.417652130126953,ils
2.1807173452034148,3.0257006616383157,111,7.187594890594482,ils
2.046527447022597,2.983348547871848,112,7.702498912811279,ils
2.160718389072228,3.610237226622273,113,14.143885850906372,ils
1.9155894661779618,2.9394011731517082,114,12.622249364852905,ils
