s,a,ns,N0,N1,vs0,vs1
0,0,19,3.3794498514407967,3.091732116987605,2.0188,3.9111
0,0,19,1.753449851440797,3.6534821169876044,2.3582,3.5277
0,0,19,1.7345748514407968,3.6549821169876044,2.3497,3.5284
0,0,19,1.7374498514407968,3.654607116987605,2.3666,3.5264
0,0,19,1.713949851440797,3.6958571169876047,2.0181,3.9111
0,0,19,1.9036998514407968,3.6067321169876045,3.7662,3.0899
0,0,19,1.7379498514407967,3.654607116987605,2.3666,3.5264
0,0,19,1.7349498514407968,3.6548571169876047,2.3602,3.5273
0,0,19,1.7379498514407967,3.6544821169876043,2.3666,3.5264
0,0,19,1.7354498514407968,3.6548571169876047,2.3666,3.5264
0,0,19,1.8583248514407968,3.6479821169876048,3.499,3.4645
0,0,19,3.5771998514407963,3.0094821169876043,3.5016,3.4628
0,0,19,1.907449851440797,3.6056071169876045,3.7779,3.0864
0,0,19,3.577574851440797,3.0089821169876045,3.5016,3.4628
0,0,19,1.736324851440797,3.6547321169876046,2.3682,3.5259
0,0,19,3.5773248514407974,3.0093571169876046,3.5016,3.4628
0,0,19,1.7345748514407968,3.6548571169876047,2.361,3.5273
0,0,19,3.582324851440797,3.0073571169876043,3.5016,3.4628
0,0,19,3.3794498514407967,3.091482116987605,2.0181,3.9111
0,0,19,3.2933248514407962,3.1118571169876046,2.0188,3.9111
0,0,19,1.7558248514407966,3.652607116987604,2.3943,3.5177
0,0,19,1.736824851440797,3.6547321169876046,2.3666,3.5264
0,0,19,1.7350748514407968,3.6548571169876047,2.361,3.5273
0,0,19,3.5809498514407965,3.008607116987605,3.499,3.4645
0,0,19,1.8989498514407968,3.610982116987605,3.7209,3.1345
0,0,19,1.9011998514407968,3.6108571169876047,3.7205,3.1349
0,0,19,3.622574851440797,2.920982116987605,3.779,3.0851
0,0,19,3.620699851440797,2.9248571169876048,3.7208,3.1345
0,0,19,3.622324851440797,2.9211071169876046,3.7725,3.0897
0,0,19,3.582199851440797,3.0074821169876045,3.5016,3.4628
0,0,19,1.756449851440797,3.652857116987605,2.3857,3.5213
0,0,19,1.7344498514407969,3.6549821169876044,2.3506,3.5283
0,0,19,1.8843248514407966,3.6119821169876047,3.7208,3.1345
0,0,19,3.581699851440797,3.008107116987605,3.5016,3.4628
0,0,19,3.581324851440797,3.0084821169876044,3.5016,3.4628
0,0,19,1.859824851440797,3.647857116987605,3.5014,3.463
0,0,19,3.6219498514407964,2.9237321169876043,3.7205,3.1349
0,0,19,1.754449851440797,3.653107116987605,2.3814,3.522
0,0,19,1.7348248514407967,3.6548571169876047,2.361,3.5273
0,0,19,3.5814498514407966,3.0083571169876047,3.5016,3.4628
0,0,19,1.8603248514407968,3.647857116987605,3.5016,3.4628
0,0,19,3.6166998514407966,2.9258571169876046,3.7215,3.1337
0,0,19,1.7353248514407966,3.6548571169876047,2.361,3.5273
0,0,19,3.5818248514407967,3.007732116987605,3.499,3.4645
0,0,19,3.6220748514407974,2.9234821169876044,3.7209,3.1345
0,0,19,1.7149498514407968,3.6953571169876045,2.0181,3.9111
0,0,19,1.7500748514407967,3.6543571169876046,2.3506,3.5283
0,0,19,3.2924498514407974,3.1119821169876047,2.0114,3.912
0,0,19,1.7573248514407969,3.6523571169876043,2.3943,3.5177
0,0,19,1.7369498514407968,3.654607116987605,2.3682,3.5259
0,0,19,1.7361998514407968,3.6548571169876047,2.3666,3.5264
0,0,19,1.882574851440797,3.6123571169876043,3.7205,3.1349
0,0,19,1.7361998514407968,3.6547321169876046,2.361,3.5273
0,0,19,3.6161998514407965,2.9263571169876044,3.7205,3.1349
0,0,19,1.7344498514407969,3.6548571169876047,2.361,3.5273
0,0,19,1.7366998514407967,3.6547321169876046,2.3666,3.5264
0,0,19,3.577449851440797,3.0093571169876046,3.5016,3.4628
0,0,19,3.454949851440797,3.0623571169876045,3.5014,3.463
0,0,19,3.577824851440797,3.008857116987605,3.5016,3.4628
0,0,19,3.4541998514407966,3.063357116987605,3.5016,3.4628
0,0,19,3.3795748514407964,3.091482116987605,2.0188,3.9111
0,0,19,1.904949851440797,3.6063571169876045,3.7781,3.0862
0,0,19,3.6219498514407964,2.9236071169876046,3.7209,3.1345
0,0,19,3.621699851440797,2.923857116987605,3.7215,3.1337
0,0,19,1.7375748514407967,3.6544821169876043,2.3682,3.5259
0,0,19,3.293949851440797,3.1109821169876044,2.0181,3.9111
0,0,19,3.576949851440797,3.0098571169876047,3.5016,3.4628
0,0,19,3.576949851440797,3.0097321169876046,3.5016,3.4628
0,0,19,3.6230748514407973,2.9204821169876047,3.779,3.0851
0,0,19,1.7546998514407968,3.6529821169876047,2.3843,3.5215
0,0,19,3.6230748514407973,2.9203571169876046,3.7794,3.0845
0,0,19,1.7146998514407967,3.6953571169876045,2.0151,3.9116
0,0,19,3.6211998514407973,2.9243571169876046,3.7215,3.1337
0,0,19,3.5776998514407965,3.008857116987605,3.5016,3.4628
0,0,19,1.735949851440797,3.6548571169876047,2.3666,3.5264
0,0,19,1.7508248514407967,3.6542321169876044,2.3578,3.5277
