s,a,ns,N0,N1,vs0,vs1
0,0,0,0.0,0.0,0.0,0.0
0,1,1,0.0,0.0,0.0,0.0
0,2,10,0.0,0.0,0.0,0.0
0,3,0,0.0,0.0,0.0,0.0
1,0,1,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0
1,2,11,0.0,0.0,0.0,0.0
1,3,0,0.0,0.0,0.0,0.0
2,0,2,0.0,0.0,0.0,0.0
2,1,3,0.0,0.0,0.0,0.0
2,2,12,0.0,0.0,0.0,0.0
2,3,1,0.0,0.0,0.0,0.0
3,0,3,0.0,0.0,0.0,0.0
3,1,4,0.0,0.0,0.0,0.0
3,2,13,0.0,0.0,0.0,0.0
3,3,2,0.0,0.0,0.0,0.0
4,0,4,0.0,0.0,0.0,0.0
4,1,5,0.0,0.0,0.0,0.0
4,2,14,0.0,0.0,0.0,0.0
4,3,3,0.0,0.0,0.0,0.0
5,0,5,0.0,0.0,0.0,0.0
5,1,6,0.0,0.0,0.0,0.0
5,2,15,0.0,0.0,0.0,0.0
5,3,4,0.0,0.0,0.0,0.0
6,0,6,0.0,0.0,0.0,0.0
6,1,7,0.0,0.0,0.0,0.0
6,2,16,0.0,0.0,0.0,0.0
6,3,5,0.0,0.0,0.0,0.0
7,0,7,0.0,0.0,0.0,0.0
7,1,8,0.0,0.0,0.0,0.0
7,2,17,0.0,0.0,0.0,0.0
7,3,6,0.0,0.0,0.0,0.0
8,0,8,0.0,0.0,0.0,0.0
8,1,9,0.0,0.0,0.0,0.0
8,2,18,0.0,0.0,0.0,0.0
8,3,7,0.0,0.0,0.0,0.0
9,0,9,0.0,0.0,0.0,0.0
9,1,9,0.0,0.0,0.0,0.0
9,2,19,0.0,0.0,0.0,0.0
9,3,8,0.0,0.0,0.0,0.0
10,0,0,0.0,0.0,0.0,0.0
10,1,11,0.0,0.0,0.0,0.0
10,2,10,0.0,0.0,0.0,0.0
10,3,10,0.0,0.0,0.0,0.0
11,0,1,0.0,0.0,0.0,0.0
11,1,12,0.0,0.0,0.0,0.0
11,2,21,0.0,0.0,0.0,0.0
11,3,10,0.0,0.0,0.0,0.0
12,0,2,0.0,0.0,0.0,0.0
12,1,13,0.0,0.0,0.0,0.0
12,2,22,0.0,0.0,0.0,0.0
12,3,11,0.0,0.0,0.0,0.0
13,0,3,0.0,0.0,0.0,0.0
13,1,14,0.0,0.0,0.0,0.0
13,2,23,0.0,0.0,0.0,0.0
13,3,12,0.0,0.0,0.0,0.0
14,0,4,0.0,0.0,0.0,0.0
14,1,15,0.0,0.0,0.0,0.0
14,2,24,0.0,0.0,0.0,0.0
14,3,13,0.0,0.0,0.0,0.0
15,0,5,0.0,0.0,0.0,0.0
15,1,16,0.0,0.0,0.0,0.0
15,2,25,0.0,0.0,0.0,0.0
15,3,14,0.0,0.0,0.0,0.0
16,0,6,0.0,0.0,0.0,0.0
16,1,17,0.0,0.0,0.0,0.0
16,2,26,0.0,0.0,0.0,0.0
16,3,15,0.0,0.0,0.0,0.0
17,0,7,0.0,0.0,0.0,0.0
17,1,18,0.0,0.0,0.0,0.0
17,2,27,0.0,0.0,0.0,0.0
17,3,16,0.0,0.0,0.0,0.0
18,0,8,0.0,0.0,0.0,0.0
18,1,19,0.0,0.0,0.0,0.0
18,2,28,0.0,0.0,0.0,0.0
18,3,17,0.0,0.0,0.0,0.0
19,0,9,0.0,0.0,0.0,0.0
19,1,19,0.0,0.0,0.0,0.0
19,2,29,0.0,0.0,0.0,0.0
