Value0,Value1,Rollout,Runtime
1.3409544337077988,2.9713058397381675,0.0,0.08489012718200684
1.622559840525692,3.5954343458051077,1.0,0.08362698554992676
1.6745724421510204,3.5598723103097316,2.0,0.08706283569335938
1.0773159823760736,3.3314702277491115,3.0,0.08200716972351074
1.1749058799070764,3.674277639527562,4.0,0.08995199203491211
1.4138496547574941,3.368287938187473,5.0,0.0897672176361084
1.1653802096494648,3.269444335936627,6.0,0.08583617210388184
1.2013938275948692,3.2939793496408596,7.0,0.08303594589233398
1.6330568977324003,3.492253378753944,8.0,0.08187985420227051
2.854526815847344,3.721362210210981,9.0,0.08131599426269531
1.4371204673073525,3.2284852144923697,10.0,0.08231973648071289
1.452761333859545,3.1768787583803433,11.0,0.08414793014526367
1.894300278188286,3.26041939516231,12.0,0.08364701271057129
1.4618538483842558,3.270753103316413,13.0,0.09046792984008789
1.5983830977725313,3.612977230580396,14.0,0.08670616149902344
1.522843476491799,3.1590358761714907,15.0,0.08464789390563965
2.0363529595966394,3.4345173978908607,16.0,0.08425498008728027
1.4232872645919201,3.219279313453385,17.0,0.08162879943847656
1.6529904758190594,3.494754757109647,18.0,0.08110499382019043
1.709549099570141,3.499990366095092,19.0,0.08165979385375977
1.2904101888681763,3.342749755472031,20.0,0.08086609840393066
1.6188774672813748,3.3398347273750773,21.0,0.08280277252197266
1.4679045179586387,3.4580924932727415,22.0,0.08012223243713379
1.439917275478861,3.2866961261763588,23.0,0.08223104476928711
1.489362461076733,3.1603065494093907,24.0,0.08025312423706055
1.2996819103852746,3.244091136484124,25.0,0.07990598678588867
1.667366008818673,3.4209071723798865,26.0,0.08303999900817871
1.4825809484847419,3.327150293275581,27.0,0.07970595359802246
2.189762495161947,3.5528636824361994,28.0,0.07973790168762207
2.0201943019312987,3.5654155331293076,29.0,0.08062505722045898
1.2291331624089252,3.6122465297700854,30.0,0.07978630065917969
1.553887304931678,3.698760745065864,31.0,0.0812520980834961
1.1503562465342985,3.5369759925207553,32.0,0.08477377891540527
1.695553791697869,3.36754448583764,33.0,0.07976603507995605
1.5954580984387072,3.6211871369725275,34.0,0.07989192008972168
2.0704617822926097,3.7374014778502462,35.0,0.08569860458374023
1.712526145696071,3.741383725476996,36.0,0.08030891418457031
1.2542792078101994,3.539712269387239,37.0,0.08020710945129395
1.9168163077994265,3.196884110812577,38.0,0.08409595489501953
1.5578119827886416,3.1350665078179483,39.0,0.08161616325378418
2.237683090353153,3.581182142374469,40.0,0.07948780059814453
2.127804397563934,3.7499140135686857,41.0,0.0803229808807373
1.5310481429368263,3.8241891511528348,42.0,0.08696103096008301
1.872777552263677,3.558266132240083,43.0,0.08474516868591309
1.5211073913905004,3.048841962855453,44.0,0.08719420433044434
1.5403624450803657,3.570267955184173,45.0,0.07988524436950684
2.673188281383232,3.701571127233243,46.0,0.08111119270324707
1.7980864739946325,3.671225305458565,47.0,0.08119082450866699
1.8093594362537382,3.529991078687935,48.0,0.0809030532836914
2.3553330176165623,3.8741725562666094,49.0,0.07988095283508301
