State,Action,Objective 0,Objective 1
0,0,21.264,-4.9983
0,0,21.1509,-4.9974
0,0,3.9279,-4.9279
0,0,18.5374,-4.9763
0,0,21.3365,-4.9989
0,0,17.8054,-4.9704
0,0,21.3828,-4.9993
0,0,21.3622,-4.9991
0,0,20.8511,-4.995
0,0,3.9099,-4.9099
0,0,21.0722,-4.9968
0,0,3.9387,-4.9423
0,0,3.7251,-4.7251
0,0,21.3042,-4.9986
0,0,21.2137,-4.9979
0,0,20.2659,-4.9902
0,0,20.6977,-4.9938
0,0,1.5616,-3.3616
0,0,20.5058,-4.9922
0,0,19.123,-4.981
0,0,20.9739,-4.996
0,0,19.9661,-4.9878
0,0,19.5913,-4.9848
0,0,3.8241,-4.8241
0,1,24.8721,-4.9922
0,1,2.9801,-4.7801
0,1,23.9576,-4.9848
0,1,3.1099,-4.9099
0,1,25.0639,-4.9938
0,1,24.3324,-4.9878
0,1,25.3403,-4.996
0,1,25.7491,-4.9993
0,1,25.6302,-4.9983
0,1,25.5171,-4.9974
0,1,25.7027,-4.9989
0,1,22.9037,-4.9763
0,1,25.4386,-4.9968
0,1,23.4891,-4.981
0,1,22.1717,-4.9704
0,1,25.7285,-4.9991
0,1,21.2567,-4.963
0,1,25.2174,-4.995
0,1,24.6322,-4.9902
0,1,1.5616,-3.3616
0,1,25.58,-4.9979
0,1,25.6706,-4.9986
0,1,20.113,-4.9538
0,1,1.7211,-4.1611
0,2,4.7251,-4.7251
0,2,23.9037,-4.9763
0,2,24.4891,-4.981
0,2,26.7491,-4.9993
0,2,3.3616,-3.3616
0,2,26.7027,-4.9989
0,2,4.5705,-4.5705
0,2,22.2567,-4.963
0,2,23.1717,-4.9704
0,2,4.4631,-4.4631
0,2,26.2174,-4.995
0,2,26.58,-4.9979
0,2,26.6706,-4.9986
0,2,25.6322,-4.9902
0,2,4.1611,-4.1611
0,2,2.952,-2.952
0,2,3.6893,-3.6893
0,2,3.9514,-3.9514
0,2,21.113,-4.9538
0,2,4.3289,-4.3289
0,2,4.8241,-4.8241
0,2,25.8721,-4.9922
0,2,4.8593,-4.8593
0,2,24.9576,-4.9848
0,2,1.8,-1.8
0,2,4.6564,-4.6564
0,2,2.44,-2.44
0,2,4.9099,-4.9099
0,2,4.9279,-4.9279
0,2,25.3324,-4.9878
0,2,4.8874,-4.8874
0,2,1.0,-1.0
0,2,26.3403,-4.996
0,2,26.4386,-4.9968
0,2,26.0639,-4.9938
0,2,4.7801,-4.7801
0,2,4.9387,-4.9423
0,2,26.5171,-4.9974
0,2,26.6302,-4.9983
0,2,26.7285,-4.9991
0,3,21.264,-4.9983
0,3,21.1509,-4.9974
0,3,3.9279,-4.9279
0,3,18.5374,-4.9763
0,3,21.3365,-4.9989
0,3,17.8054,-4.9704
0,3,21.3828,-4.9993
0,3,21.3622,-4.9991
0,3,20.8511,-4.995
0,3,3.9099,-4.9099
0,3,21.0722,-4.9968
0,3,3.9387,-4.9423
0,3,3.7251,-4.7251
0,3,21.3042,-4.9986
0,3,21.2137,-4.9979
0,3,20.2659,-4.9902
0,3,20.6977,-4.9938
0,3,1.5616,-3.3616
0,3,20.5058,-4.9922
0,3,19.123,-4.981
0,3,20.9739,-4.996
0,3,19.9661,-4.9878
0,3,19.5913,-4.9848
0,3,3.8241,-4.8241
1,0,24.8721,-4.9922
1,0,2.9801,-4.7801
1,0,23.9576,-4.9848
1,0,3.1099,-4.9099
1,0,25.0639,-4.9938
1,0,24.3324,-4.9878
1,0,25.3403,-4.996
1,0,25.7491,-4.9993
1,0,25.6302,-4.9983
1,0,25.5171,-4.9974
1,0,25.7027,-4.9989
1,0,22.9037,-4.9763
1,0,25.4386,-4.9968
1,0,23.4891,-4.981
1,0,22.1717,-4.9704
1,0,25.7285,-4.9991
1,0,21.2567,-4.963
1,0,25.2174,-4.995
1,0,24.6322,-4.9902
1,0,1.5616,-3.3616
1,0,25.58,-4.9979
1,0,25.6706,-4.9986
1,0,20.113,-4.9538
1,0,1.7211,-4.1611
1,1,2.4699,-4.9099
1,1,30.4378,-4.9979
1,1,30.5284,-4.9986
1,1,29.7299,-4.9922
1,1,29.9218,-4.9938
1,1,23.5413,-4.9423
1,1,1.3422,-4.3289
1,1,28.8155,-4.9848
1,1,30.4882,-4.9983
1,1,0.6554,-3.6893
1,1,30.1982,-4.996
1,1,28.347,-4.981
1,1,29.1902,-4.9878
1,1,30.607,-4.9993
1,1,30.375,-4.9974
1,1,30.5864,-4.9991
1,1,30.2964,-4.9968
1,1,30.5606,-4.9989
1,1,27.0296,-4.9704
1,1,30.0754,-4.995
1,1,26.1146,-4.963
1,1,27.7614,-4.9763
1,1,24.9709,-4.9538
1,1,29.4901,-4.9902
1,2,30.4155,-4.9848
1,2,31.5218,-4.9938
1,2,30.7902,-4.9878
1,2,1.44,-2.44
1,2,31.975,-4.9974
1,2,29.947,-4.981
1,2,25.1413,-4.9423
1,2,0.8,-1.8
1,2,32.0882,-4.9983
1,2,31.8964,-4.9968
1,2,32.207,-4.9993
1,2,28.6296,-4.9704
1,2,27.7146,-4.963
1,2,31.6754,-4.995
1,2,3.9401,-4.7801
1,2,32.1864,-4.9991
1,2,32.1606,-4.9989
1,2,29.3614,-4.9763
1,2,26.5709,-4.9538
1,2,4.0699,-4.9099
1,2,32.0378,-4.9979
1,2,31.0901,-4.9902
1,2,32.1284,-4.9986
1,2,31.7982,-4.996
1,2,31.3299,-4.9922
1,3,21.264,-4.9983
