Method,Repetitions,epsilon
mls,5,7.29
mls,10,2.835
mls,15,1.8550000000000004
mls,20,2.8499999999999996
mls,25,1.495
mls,30,1.5949999999999998
mls,35,1.2649999999999997
mls,40,1.375
ils,5,13.45
ils,10,8.940000000000001
ils,15,4.14
ils,20,3.41
ils,25,1.8849999999999998
ils,30,1.8899999999999997
ils,35,1.5949999999999998
ils,40,2.42
