Method,Perturbation,epsilon
ils,0.1,0.31608595623888336
ils,0.2,0.4647077332024572
ils,0.3,0.4780248981837709
ils,0.4,0.578862032894955
ils,0.5,0.4927909754972801
ils,0.6,0.5225513823936334
ils,0.7,0.532909344499733
ils,0.8,0.604159255619428
ils,0.9,0.5679756268616423
