Method,Repetitions,epsilon
mls,5,1.1863996490745472
mls,10,1.1682555688848233
mls,15,1.2108605766958114
mls,20,1.2329972923943398
mls,25,1.2377768042324222
mls,30,1.2714229211356356
mls,35,1.2761737847841594
mls,40,1.2273670870170694
ils,5,0.9934965337342361
ils,10,1.123520602987507
ils,15,1.1644302891802214
ils,20,1.164537264819427
ils,25,1.2349490426818595
ils,30,1.1924405829337956
ils,35,1.2575223730508183
ils,40,1.1894826221725612
