Method,Perturbation,epsilon
ils,0.1,0.9674309257806197
ils,0.2,1.0608406042177507
ils,0.3,1.123520602987507
ils,0.4,1.1459510766783176
ils,0.5,1.1940447845454767
ils,0.6,1.121786452231841
ils,0.7,1.1944267525088632
ils,0.8,1.2551066852780812
ils,0.9,1.263828553420339
