Method,Repetitions,epsilon
mls,5,11.55
mls,10,8.29
mls,15,4.725
mls,20,6.65
mls,25,5.35
mls,30,4.725
mls,35,5.970000000000001
mls,40,4.875
ils,5,14.850000000000001
ils,10,13.925
ils,15,14.8
ils,20,15.065000000000001
ils,25,15.73
ils,30,12.2
ils,35,12.32
ils,40,9.024999999999999
