Method,Repetitions,epsilon
mls,5,0.18685821354316245
mls,10,0.13836015248724953
mls,15,0.15877447952340873
mls,20,0.1289385871304547
mls,25,0.10587441082347837
mls,30,0.14113517989464075
mls,35,0.12208556835459383
mls,40,0.13162384160744667
ils,5,0.21995058121806732
ils,10,0.20940069884992907
ils,15,0.21557635728587377
ils,20,0.20069426602607932
ils,25,0.10897340578601611
ils,30,0.10195961863551606
ils,35,0.10427050479610789
ils,40,0.10719730416090512
