Method,Perturbation,epsilon
ils,0.1,0.4633654399756497
ils,0.2,0.4106613704858244
ils,0.3,0.4647034117106035
ils,0.4,0.3975820153830112
ils,0.5,0.3945462011911749
ils,0.6,0.38960002157276863
ils,0.7,0.3469892582804852
ils,0.8,0.38087114590058224
ils,0.9,0.39331120539958553
