Method,Perturbation,epsilon
ils,0.1,1.1781929041726955
ils,0.2,1.0742037166374887
ils,0.3,1.1172535582755767
ils,0.4,1.1210747460544033
ils,0.5,1.051654400595225
ils,0.6,1.0711417526140496
ils,0.7,1.1101834334939031
ils,0.8,1.0016594759367594
ils,0.9,1.0973535738614797
