Method,Repetitions,epsilon
mls,5,0.54569375381267
mls,10,0.5867663714675913
mls,15,0.6202674116451279
mls,20,0.5966946127880377
mls,25,0.644774430006599
mls,30,0.599883004509044
mls,35,0.6209374267767176
mls,40,0.6089325237948671
ils,5,0.42211210523262976
ils,10,0.4780248981837709
ils,15,0.5356931634305901
ils,20,0.5436815286714161
ils,25,0.5229199957511166
ils,30,0.49835029963662847
ils,35,0.5651295992563656
ils,40,0.5334291065064125
