Method,Perturbation,epsilon
ils,0.1,4.3678160919540225
ils,0.2,1.891640866873065
ils,0.3,0.7996146435452791
ils,0.4,0.6560283687943262
ils,0.5,0.34099066762383345
ils,0.6,0.13418336369156036
ils,0.7,0.13280776228017
ils,0.8,0.11455847255369922
ils,0.9,0.03893214682981094
