Method,Perturbation,epsilon
ils,0.1,70.945
ils,0.2,70.395
ils,0.3,69.94
ils,0.4,68.695
ils,0.5,67.835
ils,0.6,63.735
ils,0.7,62.775
ils,0.8,58.15
ils,0.9,61.519999999999996
