Method,Perturbation,epsilon
ils,0.1,0.2604377558161799
ils,0.2,0.22693870220047185
ils,0.3,0.20940069884992907
ils,0.4,0.16856123267626
ils,0.5,0.1764217250449014
ils,0.6,0.16283331030790826
ils,0.7,0.15983150277174962
ils,0.8,0.20212854831973415
ils,0.9,0.1538023726727209
