Method,Perturbation,epsilon
ils,0.1,13.84
ils,0.2,8.120000000000001
ils,0.3,8.940000000000001
ils,0.4,4.944999999999999
ils,0.5,3.4400000000000004
ils,0.6,4.36
ils,0.7,3.8150000000000004
ils,0.8,1.8950000000000005
ils,0.9,4.17
